sex,subj,agem,experiment,cost,hv_side,first_fam,first_test,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,avg_lv,avg_hv,lv1,lv2,hv1,hv2,prop.lv,prop.hv,pref.raw
m,S2_18,9.7,Exp.2,Ramps,left,HL,HV,60,60,60,9.03,14.43,30.57,16.26,23.82,20.68,10.24,39.01,234.03,17.03,18.47,23.82,10.24,16.26,20.68,0.462744,0.537256,HV
m,S2_9,9.73,Exp.2,Ramps,right,LH,HV,60,60,60,9.64,25.98,3.89,39.64,60,60,32.25,36.59,219.51,46.13,49.82,60,32.25,39.64,60,0.475881,0.524119,HV
f,S2_23,9.77,Exp.2,Ramps,left,LH,HV,60,19.66,17.57,21.47,3.46,21.45,27.88,15.62,NA 3.77,NA,23.94,143.61,15.62,27.88,15.62,NA,27.88,NA,0.35908,0.64092,HV
m,S2_1,9.8,Exp.2,Ramps,right,LH,HV,60,60,35.95,60,60,60,60,21.71,42.63,29.38,55.99,335.95,25.55,51.32,21.71,29.38,60,42.63,0.336847,0.663153,HV
m,S2_22,9.87,Exp.2,Ramps,right,LH,HV,60,60,41.53,15.53,33.75,10.47,29.16,60,10.92,7.48,36.88,221.28,33.74,20.04,60,7.48,29.16,10.92,0.539735,0.460265,LV
f,S2_12,9.9,Exp.2,Ramps,right,HL,HV,60,60,33.27,28.59,9.62,11.77,24.52,13.98,60,57.99,33.88,203.25,35.99,42.26,13.98,57.99,24.52,60,0.4273,0.5727,HV
f,S2_17,9.9,Exp.2,Ramps,right,HL,HV,36.02,50.71,16.32,60,21.76,3.93,39.69,12.81,8.35,36.23,31.46,188.74,24.52,24.02,12.81,36.23,39.69,8.35,0.528348,0.471652,LV
f,S2_10,10,Exp.2,Ramps,left,HL,HV,60,32.04,44.79,9.57,16.39,8.64,23.13,18.09,41.01,60,28.57,171.43,39.05,32.07,18.09,60,23.13,41.01,0.516433,0.483567,LV
f,S2_8,10,Exp.2,Ramps,left,LH,HV,60,58.74,51.45,60,47.52,60,60,60,60,60,56.29,337.71,60,60,60,60,60,60,0.5,0.5,HV
m,S2_4,10.17,Exp.2,Ramps,left,HL,HV,60,60,60,60,60,18.09,21.19,44.45,7.86,29.89,53.02,318.09,37.17,14.53,44.45,29.89,21.19,7.86,0.734483,0.265517,LV
f,S2_5,10.33,Exp.2,Ramps,right,HL,HV,60,60,48.59,11.72,3.57,8.68,14.14,12.25,4.93,5.25,32.09,192.56,8.75,9.54,12.25,5.25,14.14,4.93,0.489954,0.510046,HV
f,S2_20,9.47,Exp.2,Ramps,left,LH,LV,60,27.99,15.84,2.43,29.42,3.41,60,60,22.41,51.34,23.18,139.09,41.21,55.67,60,22.41,60,51.34,0.401932,0.598068,HV
m,S2_11,9.63,Exp.2,Ramps,left,LH,LV,60,17.3,56.6,8.78,22.8,3.57,18.43,28.93,28.25,37.67,28.18,169.05,23.34,33.3,18.43,28.25,28.93,37.67,0.408848,0.591152,HV
f,S2_24,9.73,Exp.2,Ramps,right,LH,LV,60,60,4.02,60,60,23.88,60,42.29,14.26,13.03,44.65,267.9,37.13,27.66,60,14.26,42.29,13.03,0.554552,0.445448,LV
m,S2_16,9.77,Exp.2,Ramps,right,HL,LV,60,48.48,23.17,23.41,9.15,33.17,30.07,7.86,19.51,7.85,32.9,197.38,24.79,7.86,30.07,19.51,7.86,7.85,0.75293,0.24707,LV
f,S2_6,9.8,Exp.2,Ramps,right,LH,LV,60,31.16,9.79,29.74,47.46,27.64,56.53,16.97,36.16,6.94,34.3,205.79,46.35,11.96,56.53,36.16,16.97,6.94,0.804047,0.195953,LV
m,S2_7,9.8,Exp.2,Ramps,left,LH,LV,60,36.56,60,22.63,22.55,3.49,12.98,8.55,NA,NA,34.21,205.23,12.98,8.55,12.98,NA,8.55,NA,0.60288,0.39712,LV
f,S2_13,9.83,Exp.2,Ramps,right,LH,LV,60,60,27.3,46.19,10.87,2.59,60,28.25,5.63,4.28,34.49,206.95,32.82,16.27,60,5.63,28.25,4.28,0.624,0.376,LV
m,S2_2,9.83,Exp.2,Ramps,right,HL,LV,44.15,12.16,16.31,8.73,7.64,9.01,30.34,27.63,42.5,37.63,16.33,98,36.42,32.63,30.34,42.5,27.63,37.63,0.526881,0.473119,LV
f,S2_3,9.93,Exp.2,Ramps,left,HL,LV,60,60,60,60,15.08,3.85,60,8.28,13.89,32.51,43.16,258.93,36.95,20.4,60,13.89,8.28,32.51,0.589044,0.410956,LV
f,S2_21,10.1,Exp.2,Ramps,left,HL,LV,60,29.45,24.84,10.06,15.27,28.13,24.35,12.74,7.14,6.29,27.96,167.75,15.75,9.52,24.35,7.14,12.74,6.29,0.594078,0.405922,LV
f,S2_15,10.2,Exp.2,Ramps,left,HL,LV,60,60,17.03,11.44,13.98,22.25,21.76,7.3,16.6,5.53,30.78,184.7,19.18,6.42,21.76,16.6,7.3,5.53,0.749454,0.250546,LV
f,S2_19,10.43,Exp.2,Ramps,right,HL,LV,60,45.49,42.38,23.51,21.49,5.23,NA 33.26,NA,17.45,9.93,33.02,198.1,17.45,9.93,NA,17.45,NA,9.93,0.637327,0.362673,LV
m,S3_2,9.87,Exp.3,Gap,right,LH,HV,60,27.1,39,60,36.9,20,48.22,37.16,6.52,7.83,40.5,243,22.5,27.37,37.16,7.83,48.22,6.52,0.490438,0.509562,HV
m,S3_6,10.2,Exp.3,Gap,right,LH,HV,60,6.5,18.5,38,27.8,37.6,48.52,5.26,5.77,25.96,31.4,188.4,15.61,27.15,5.26,25.96,48.52,5.77,0.45798,0.54202,HV
f,S3_11,10.3,Exp.3,Gap,left,HL,HV,60,33.5,11.2,15.1,6.1,3.8,23.33,10.68,8.19,6.86,21.62,129.7,8.77,15.76,10.68,6.86,23.33,8.19,0.38492,0.61508,HV
m,S3_12,10.3,Exp.3,Gap,right,LH,HV,60,60,15.39,55.87,3.58,3.84,5.25,6.86,6.87,7.14,33.11,198.68,7,6.06,6.86,7.14,5.25,6.87,0.538055,0.461945,LV
f,S3_13,10.33,Exp.3,Gap,left,LH,HV,60,5.4,60,12.7,60,60,17.56,40.4,17.44,12.08,43.02,258.1,26.24,17.5,40.4,12.08,17.56,17.44,0.553123,0.446877,LV
m,S3_15,9.67,Exp.3,Gap,right,HL,HV,34,22.3,33.6,11.7,4.8,12,6.35,3.73,NA 1.9,NA 4.6,19.73,118.4,3.73,6.35,3.73,NA,6.35,NA,0.37004,0.62996,HV
f,S3_16,10.07,Exp.3,Gap,left,LH,HV,60,60,4.2,29,17.6,11.3,30.81,7.36,6.75,6.89,30.35,182.1,7.13,18.78,7.36,6.89,30.81,6.75,0.348977,0.651023,HV
f,S3_17,9.67,Exp.3,Gap,left,HL,HV,60,5,32.4,39.8,34,6.1,60,36.88,42.92,21.61,29.55,177.3,29.25,51.46,36.88,21.61,60,42.92,0.35778,0.64222,HV
f,S3_19,10.47,Exp.3,Gap,left,HL,HV,60,40.4,21.5,33.7,12.8,7.7,31.21,20.72,6.61,5.89,29.35,176.1,13.31,18.91,20.72,5.89,31.21,6.61,0.435099,0.564901,HV
m,S3_20,10.43,Exp.3,Gap,right,HL,HV,23.6,44.2,23.3,13.4,14.6,5,37.47,32.24,29.39,31.4,20.68,124.1,31.82,33.43,32.24,31.4,37.47,29.39,0.48951,0.51049,HV
m,S3_22,10.5,Exp.3,Gap,right,HL,HV,60,60,5.5,41,3.6,40.8,8.92,42.02,NA 2.5,NA 0.74,35.15,210.9,42.02,8.92,42.02,NA,8.92,NA,0.824892,0.175108,LV
m,S3_24,9.83,Exp.3,Gap,right,HL,HV,60,49,5.4,60,60,60,46.24,16.62,9.73,20.95,49.07,294.4,18.79,27.99,16.62,20.95,46.24,9.73,0.473626,0.526374,HV
f,S3_25,10,Exp.3,Gap,left,LH,HV,60,60,41.6,18.3,11.2,8.5,5.71,5,3.95,6.71,33.27,199.6,5.86,4.83,5,6.71,5.71,3.95,0.548155,0.451845,LV
m,S3_29,9.67,Exp.3,Gap,right,LH,HV,60,38.6,28.9,21.2,49,60,16.52,11.1,20.02,53.89,42.95,257.7,32.5,18.27,11.1,53.89,16.52,20.02,0.565506,0.434494,LV
m,S3_30,9.93,Exp.3,Gap,left,HL,HV,60,60,60,60,40.02,60,28.2,24.52,11.1,6.88,56.67,340.02,15.7,19.65,24.52,6.88,28.2,11.1,0.423873,0.576127,HV
f,S3_32,9.73,Exp.3,Gap,left,LH,HV,60,60,60,60,60,25.1,23.38,8.5,8.32,11.9,54.18,325.1,10.2,15.85,8.5,11.9,23.38,8.32,0.427576,0.572424,HV
m,S3_1,9.73,Exp.3,Gap,left,HL,LV,60,23.1,60,47.9,24.6,43,39.24,5.47,5.54,4.98,43.1,258.6,22.39,5.23,39.24,5.54,5.47,4.98,0.702136,0.297864,LV
f,S3_3,10.17,Exp.3,Gap,right,HL,LV,60,60,60,60,59.4,40.7,60,54.97,60,24.38,56.68,340.1,60,39.68,60,60,54.97,24.38,0.616472,0.383528,LV
m,S3_4,9.87,Exp.3,Gap,left,HL,LV,47.7,16.2,4.2,32.5,4.5,6.3,19.18,24.32,12.55,12.64,18.57,111.4,15.87,18.48,19.18,12.55,24.32,12.64,0.469567,0.530433,HV
f,S3_5,10.17,Exp.3,Gap,right,HL,LV,60,60,30.7,14.2,25.6,13,35.96,7.51,12.77,14.45,33.92,203.5,24.37,10.98,35.96,12.77,7.51,14.45,0.648189,0.351811,LV
f,S3_7,9.6,Exp.3,Gap,right,HL,LV,60,13.1,14.8,60,3.3,60,34.82,9.62,9.11,9.4,35.2,211.2,21.97,9.51,34.82,9.11,9.62,9.4,0.637847,0.362153,LV
m,S3_8,10.1,Exp.3,Gap,left,HL,LV,60,60,60,30.2,26.1,12.9,45.11,6.83,18.42,4.12,41.53,249.2,31.77,5.48,45.11,18.42,6.83,4.12,0.842858,0.157142,LV
f,S3_9,10.23,Exp.3,Gap,right,LH,LV,60,60,60,60,50.3,60,60,18.66,32.45,13.85,58.38,350.3,46.23,16.26,60,32.45,18.66,13.85,0.73182,0.26818,LV
f,S3_10,9.77,Exp.3,Gap,right,LH,LV,60,21.8,15,26.9,18.6,24.7,29.14,16.7,7.34,13.75,27.83,167,18.24,15.23,29.14,7.34,16.7,13.75,0.491861,0.508139,LV
m,S3_14,10.27,Exp.3,Gap,left,LH,LV,13.2,30.5,21.5,7,36.2,18.4,11.1,14.75,7.13,6.94,21.13,126.8,9.12,10.85,11.1,7.13,14.75,6.94,0.468076,0.531924,HV
f,S3_18,10.37,Exp.3,Gap,right,HL,LV,60,43.6,28.9,4.1,9.5,13.4,15.9,10.29,18.14,7.18,26.58,159.5,17.02,8.74,15.9,18.14,10.29,7.18,0.661766,0.338234,LV
m,S3_21,9.93,Exp.3,Gap,left,HL,LV,50.2,16,13.4,15.5,60,24,60,25.44,32.78,8.67,29.85,179.1,46.39,17.06,60,32.78,25.44,8.67,0.74654,0.25346,LV
f,S3_23,9.93,Exp.3,Gap,right,LH,LV,47.8,24.2,22.2,6.6,17.4,9.8,46.99,27.75,24.92,3.43,21.33,128,35.96,15.59,46.99,24.92,27.75,3.43,0.753863,0.246137,LV
m,S3_26,10.43,Exp.3,Gap,left,LH,LV,60,60,13.3,60,15,60,60,40.5,18.18,21.11,44.72,268.3,39.09,30.81,60,18.18,40.5,21.11,0.529864,0.470136,LV
m,S3_27,10.33,Exp.3,Gap,left,LH,LV,60,60,51.1,23,30.7,60,31.69,8.52,8.5,9.1,47.47,284.8,20.1,8.81,31.69,8.5,8.52,9.1,0.635533,0.364467,LV
m,S3_28,9.57,Exp.3,Gap,left,LH,LV,56.2,22.6,33.7,7.3,12.8,6.8,21.15,7.27,4.81,13.69,23.23,139.4,12.98,10.48,21.15,4.81,7.27,13.69,0.502097,0.497903,LV
f,S3_31,9.6,Exp.3,Gap,right,LH,LV,60,7.6,4.7,7.5,2.9,27,26.35,25.16,25.12,9.93,18.28,109.7,25.74,17.55,26.35,25.12,25.16,9.93,0.614121,0.385879,LV
